University,Average Student Loan Debt Per Borrower
University of South Carolina Aiken,28176
Virginia State University,28250
Lake Superior State University,28259
Florida Agricultural and Mechanical University,28284
The University of Iowa,28328
University of South Dakota,28363
University of Southern California,28434
Florida Gulf Coast University,28581
The University of Akron,28643
McKendree University,28754
MidAmerica Nazarene University,28755
Bowie State University,28807
West Virginia University Institute of Technology,28859
Georgia State University,28864
Lindsey Wilson College,28870
William & Mary,28895
Nyack College,28926
St. Petersburg College,29008
University of North Alabama,29021
"University of Maryland, College Park",29133
Harvey Mudd College,29139
Hanover College,29190
New York University,29242
Peabody Conservatory of The Johns Hopkins University,29292
Occidental College,29306
College of Saint Elizabeth,29315
Auburn University,29331
Youngstown State University,29360
New England Conservatory of Music,29412
Elmhurst University,29432
Bennington College,29443
University of Wisconsin-Parkside,29551
Converse College,29580
Illinois Institute of Technology,29594
DePaul University,29621
Northern State University,29635
University of Michigan-Flint,29645
Samford University,29676
Gonzaga University,29685
Westminster College,29691
University of Wisconsin-Platteville,29707
Northwestern State University of Louisiana,29793
Maryville College,29844
Ohio Christian University,30000
Northern Michigan University,30125
Longwood University,30133
Auburn University at Montgomery,30138
Scripps College,30150
Millsaps College,30156
Monmouth College,30252
University of Oklahoma,30258
University of Maine at Farmington,30315
University of Cincinnati,30350
East Texas Baptist University,30351
Indiana Wesleyan University,30355
Nebraska Methodist College,30407
Clayton State University,30423
Shawnee State University,30554
Worcester State University,30629
Saint Martins University,30672
"University of Minnesota, Duluth",30687
Texas A&M University-Kingsville,30726
Rutgers University - Camden,30737
Rutgers University - New Brunswick,30829
State University of New York at Plattsburgh,30919
University of Memphis,30931
Illinois College,30990
Mississippi State University,31060
Northland College,31106
University of Mary Washington,31157
State University of New York College at Cortland,31176
State University of New York College of Technology at Canton,31214
St. Johns University,31237
West Virginia Wesleyan College,31412
Framingham State University,31465
Virginia Polytechnic Institute and State University,31494
"St. Josephs College, Long Island Campus",31518
Georgia Institute of Technology,31545
Evangel University,31560
McMurry University,31590
University of Wisconsin-Stevens Point,31669
Central Michigan University,31683
University of Vermont,31684
Illinois State University,31687
SUNY Brockport,31695
Nebraska Wesleyan University,31715
The New School College of Performing Arts,31723
University of Massachusetts Amherst,31755
Dominican University of California,31978
Union College,32103
Bethany Lutheran College,32152
Eugene Lang College of Liberal Arts,32153
Brandeis University,32158
Virginia Commonwealth University,32163
Francis Marion University,32193
Columbus College of Art & Design,32258
Messenger College,32313
University of Massachusetts Lowell,32317
Reinhardt University,32384
Colorado School of Mines,32482
Malone University,32495
Virginia Wesleyan University,32515
Cleveland Institute of Art,32533
West Virginia University,32541
Campbell University,32590
Lenoir-Rhyne University,32622
Parsons School of Design,32624
Lawrence Technological University,32735
Millersville University of Pennsylvania,32815
Geneva College,32823
John Carroll University,32956
Penn State Abington,32957
Prairie View A&M University,32960
Muhlenberg College,32963
Penn State Brandywine,33019
Muskingum University,33026
Charlotte Christian College and Theological Seminary,33034
Baker University,33046
Southern Wesleyan University,33089
Methodist University,33211
Winona State University,33312
George Mason University,33362
Bridgewater State University,33367
University of Mississippi,33411
Limestone College,33427
Capital University,33461
South Dakota State University,33476
Kansas Wesleyan University,33505
North Dakota State University,33639
Hampton University,33680
William Woods University,33704
Loyola Marymount University,33742
Manchester University,33838
University of Pittsburgh at Greensburg,33844
University of Alaska Southeast,33869
Northern Illinois University,33915
University of Kentucky,33927
Case Western Reserve University,33946
High Point University,34079
Wheeling Jesuit University,34151
Saint Louis University,34188
University of Dallas,34205
Our Lady of the Lake University,34224
University of Saint Katherine,34245
Penn State New Kensington,34304
Robert Morris University Illinois,34382
Rowan University,34519
Molloy College,34553
Roberts Wesleyan College,34679
Pepperdine University,34711
The George Washington University,34768
University of Massachusetts Dartmouth,34824
The Kings College,34876
St. Bonaventure University,34877
Penn State Wilkes-Barre,34928
Augustana College,34964
Pine Manor College,34970
The University of Alabama,34975
Siena College,35057
University of New Hampshire at Manchester,35130
Bentley University,35187
Western Michigan University,35204
Virginia Military Institute,35353
Seton Hill University,35356
Point Loma Nazarene University,35374
Guilford College,35392
Hope International University,35427
Millikin University,35596
Ramapo College of New Jersey,35658
Husson University,35681
Cairn University,35717
Southern Vermont College,35728
Walla Walla University,35777
Penn State Lehigh Valley,35834
Cazenovia College,35863
Northwest Missouri State University,35920
Valparaiso University,35968
Milwaukee School of Engineering,36150
Biola University,36330
Nazarene Bible College,36370
Albright College,36422
Morningside College,36449
Rockford University,36476
Lincoln University,36567
The College of Saint Rose,36596
Penn State Greater Allegheny,36645
Hamline University,36676
Ohio Wesleyan University,36680
Westminster College,36769
Wells College,36804
La Salle University,37002
Mary Baldwin University,37097
University of Wisconsin-Milwaukee,37261
Edgewood College,37332
North Central College,37396
Penn State York,37420
University of Delaware,37447
Southwestern College,37490
Coastal Carolina University,37717
Missouri Valley College,37801
Babson College,37866
Stevens Institute of Technology,37900
Penn State Beaver,38026
Franklin College,38057
University of Pittsburgh at Bradford,38322
Temple University,38634
Penn State Hazleton,38737
University of Saint Joseph,38916
Penn State Worthington Scranton,39015
Penn State Harrisburg,39036
Lubbock Christian University,39288
Savannah College of Art and Design,39328
University of Pittsburgh,39417
Wartburg College,39559
University of Pittsburgh at Johnstown,39603
Marymount Manhattan College,39660
Robert Morris University,39856
University of Mount Union,40112
Keene State College,40125
Penn State University Park,40128
Corban University,40239
St. Norbert College,40265
Milwaukee Institute of Art and Design,40330
Clark Atlanta University,40393
Eastern University,40488
Penn State Shenango,40515
Le Moyne College,40522
Augsburg University,40574
Kutztown University of Pennsylvania,40592
University of New England,40683
Plymouth State University,40809
Carlow University,40958
Indiana University of Pennsylvania,41222
Penn State Berks,41278
Loyola University Maryland,41443
The University of Scranton,41570
Penn State Schuylkill,41749
Trinity Christian College,41752
"Penn State Erie, The Behrend College",41841
San Francisco Conservatory of Music,42000
California University of Pennsylvania,42029
Ursinus College,42113
University of New Hampshire,42246
Southern Connecticut State University,42326
Mansfield University of Pennsylvania,42457
Edinboro University of Pennsylvania,42694
Penn State Altoona,43294
Keuka College,44211
North Carolina Central University,44228
Duquesne University,44243
University of Northwestern-St. Paul,44561
Curry College,45947
Morgan State University,46194
Schreiner University,47330
National University,48851
Midwestern State University,49146
The Culinary Institute of America,51200
The New School for Public Engagement,54566
Immaculata University,55126
MCPHS University,58012
New York School of Interior Design,65401
